Number of vertices:10000
Number of edges:49985
v0: 1,0.556873, 2,0.368370, 3,0.190316, 4,0.648527
v1: 2,0.796207, 3,0.853670, 4,0.629006
v2: 3,0.704986, 4,0.694784
v3: 4,0.237911
v4:
v5: 0,0.568839, 3,0.479583, 4,0.353259, 2,0.216135, 1,0.573244
v6: 3,0.503598, 0,0.978711, 4,0.189761, 5,0.318963, 2,0.808171
v7: 5,0.928451, 2,0.483544, 0,0.929818, 3,0.455456, 6,0.856349
v8: 2,0.663531, 5,0.971670, 3,0.862180, 1,0.661625, 0,0.937425
v9: 3,0.305389, 0,0.672058, 1,0.285397, 7,0.668894, 6,0.104193
v10: 0,0.167011, 3,0.955580, 8,0.437424, 1,0.784856, 4,0.082671
v11: 4,0.454834, 9,0.400273, 7,0.389345, 5,0.727586, 3,0.534030
v12: 5,0.435839, 8,0.150736, 1,0.415859, 3,0.337134, 6,0.211421
v13: 2,0.351760, 9,0.027654, 11,0.777430, 7,0.267382, 0,0.890327
v14: 2,0.719667, 5,0.446174, 9,0.850811, 3,0.577306, 10,0.779443
v15: 10,0.097208, 12,0.767238, 0,0.971489, 14,0.822019, 4,0.676283
v16: 6,0.294413, 5,0.202993, 9,0.705918, 1,0.370509, 8,0.140681
v17: 8,0.426061, 3,0.798867, 5,0.565459, 1,0.671921, 7,0.975710
v18: 16,0.763009, 7,0.883928, 10,0.174678, 9,0.819544, 0,0.078192
v19: 5,0.165898, 4,0.242888, 10,0.216729, 13,0.571595, 16,0.790245
v20: 3,0.645527, 9,0.364946, 13,0.652869, 18,0.766848, 0,0.413602
v21: 16,0.415503, 10,0.353499, 5,0.258572, 11,0.813886, 12,0.986592
v22: 2,0.651601, 8,0.459393, 12,0.023089, 18,0.058115, 5,0.737685
v23: 22,0.266605, 4,0.830965, 5,0.031011, 14,0.203768, 12,0.729279
v24: 5,0.985339, 22,0.598605, 12,0.756986, 0,0.661542, 4,0.534040
v25: 24,0.606908, 12,0.303709, 4,0.436991, 3,0.511718, 8,0.437696
v26: 16,0.361655, 20,0.328875, 7,0.402411, 0,0.328221, 6,0.407646
v27: 1,0.308077, 23,0.849235, 7,0.091346, 6,0.254498, 11,0.343862
v28: 10,0.284033, 3,0.750475, 16,0.238444, 11,0.521313, 23,0.713911
v29: 9,0.702843, 22,0.680940, 1,0.557378, 5,0.851411, 19,0.656574
v30: 17,0.035281, 5,0.967450, 1,0.926137, 24,0.585863, 11,0.599724
v31: 10,0.555721, 7,0.008679, 25,0.872214, 20,0.298885, 5,0.356025
v32: 8,0.709612, 6,0.456705, 14,0.837131, 13,0.666768, 4,0.362910
v33: 2,0.421488, 20,0.949102, 12,0.563909, 9,0.618689, 8,0.306609
v34: 3,0.183532, 6,0.625167, 14,0.186988, 4,0.708340, 20,0.067097
v35: 16,0.694456, 5,0.720313, 9,0.296660, 23,0.971830, 26,0.551602
v36: 0,0.780992, 8,0.127923, 13,0.002123, 5,0.674454, 11,0.544350
v37: 24,0.892632, 7,0.460038, 8,0.866727, 22,0.083570, 9,0.557324
