Number of vertices:100
Number of edges:485
v0: 1,0.083344, 2,0.756049, 3,0.914049, 4,0.429752
v1: 2,0.848882, 3,0.162715, 4,0.749224
v2: 3,0.200193, 4,0.636099
v3: 4,0.912791
v4:
v5: 0,0.275616, 1,0.283639, 2,0.113589, 4,0.089494, 3,0.118407
v6: 0,0.063638, 4,0.561242, 5,0.787587, 1,0.970114, 2,0.709671
v7: 0,0.435682, 2,0.504437, 3,0.069705, 6,0.531961, 1,0.676914
v8: 0,0.896843, 1,0.233817, 5,0.769528, 4,0.456126, 7,0.113807
v9: 0,0.749534, 5,0.422721, 4,0.670589, 1,0.588686, 2,0.049999
v10: 8,0.328396, 2,0.359666, 0,0.914849, 6,0.865108, 1,0.875956
v11: 5,0.196010, 1,0.340394, 7,0.995779, 2,0.054166, 8,0.370465
v12: 1,0.400040, 7,0.479017, 5,0.844807, 2,0.668875, 6,0.777176
v13: 12,0.992071, 6,0.742798, 9,0.200312, 0,0.638608, 2,0.092030
v14: 0,0.742590, 5,0.716943, 6,0.668324, 2,0.519622, 8,0.283224
v15: 2,0.142149, 1,0.094714, 9,0.854792, 0,0.496175, 6,0.218543
v16: 3,0.045896, 12,0.366641, 6,0.137879, 1,0.331330, 2,0.656370
v17: 7,0.608654, 13,0.646129, 0,0.492315, 9,0.339953, 3,0.587400
v18: 4,0.436212, 6,0.417317, 12,0.854363, 1,0.274221, 15,0.830702
v19: 17,0.611523, 7,0.867106, 9,0.448678, 13,0.925043, 8,0.201776
v20: 4,0.256140, 17,0.943122, 3,0.059342, 5,0.360903, 7,0.702914
v21: 20,0.881849, 0,0.241742, 8,0.954469, 3,0.767417, 4,0.971258
v22: 1,0.940837, 10,0.640227, 12,0.303478, 18,0.557421, 2,0.572446
v23: 8,0.101458, 12,0.198009, 1,0.945454, 5,0.238953, 3,0.076740
v24: 12,0.773171, 7,0.683222, 20,0.907253, 0,0.194024, 16,0.961782
v25: 20,0.666967, 16,0.715984, 6,0.550676, 1,0.204106, 2,0.415879
v26: 0,0.684515, 14,0.647685, 19,0.649591, 22,0.672409, 20,0.184030
v27: 11,0.989826, 2,0.012662, 9,0.808990, 3,0.696444, 7,0.129690
v28: 20,0.700517, 24,0.594534, 0,0.325060, 7,0.284936, 5,0.919622
v29: 8,0.094801, 23,0.312845, 1,0.986106, 20,0.490068, 0,0.565473
v30: 10,0.902971, 13,0.234292, 18,0.743330, 23,0.153122, 0,0.529061
v31: 4,0.932643, 12,0.929351, 11,0.610069, 5,0.431381, 13,0.220403
v32: 16,0.319926, 23,0.000381, 3,0.404474, 0,0.002793, 12,0.947259
v33: 14,0.575956, 4,0.085719, 18,0.681356, 1,0.550341, 5,0.575108
